0,0
0.007,0.1366
0.0261,0.3862
0.0578,0.6407
0.1027,0.8965
0.1604,1.154
0.231,1.4113
0.3143,1.6689
0.4105,1.9264
0.52,2.1848
0.6421,2.4441
0.7772,2.7032
0.9255,2.9633
1.0866,3.2244
1.2606,3.4858
1.4483,3.7484
1.6488,4.0129
1.8628,4.2781
2.0898,4.5456
2.3307,4.8147
2.5851,5.0868
2.8532,5.3617
3.1352,5.6402
3.4314,5.923
3.7417,6.2113
4.067,6.5059
4.4076,6.8091
4.7636,7.1233
5.1361,7.4503
5.5258,7.7949
5.934,8.1621
6.3614,8.5456
6.7914,8.6023
7.2163,8.4993
7.6363,8.4
8.0517,8.309
8.4626,8.217
8.8684,8.1148
9.2702,8.0353
9.6703,8.0015
10.0707,8.0104
10.4738,8.0613
10.8821,8.1665
11.2958,8.2737
11.7098,8.2814
12.1019,7.8407
12.4601,7.1633
12.7851,6.4994
13.0789,5.8762
13.3436,5.2939
13.5811,4.7513
13.7936,4.2486
13.983,3.7877
14.1516,3.3725
14.302,3.0067
14.4365,2.6908
14.5577,2.424
14.6676,2.1992
14.7681,2.0095
14.8602,1.843
14.945,1.695
15.0226,1.5521
15.0933,1.4139
15.157,1.2731
15.2133,1.1276
15.2623,0.9784
15.3035,0.8223
15.3365,0.6619
15.3615,0.4972
15.3778,0.3279
15.3857,0.1569
