0,0
0.0038,0.0768
0.0133,0.189
0.0277,0.2886
0.0498,0.4415
0.0823,0.6495
0.1272,0.8993
0.1861,1.1774
0.2596,1.4697
0.3479,1.7675
0.4512,2.0657
0.5693,2.3616
0.702,2.6534
0.8491,2.9416
1.0103,3.2258
1.1857,3.5068
1.3749,3.7847
1.5779,4.0601
1.7946,4.3336
2.0248,4.6054
2.2687,4.876
2.5259,5.1456
2.7966,5.4146
3.0809,5.6833
3.3784,5.9521
3.6895,6.2209
4.0141,6.4903
4.3519,6.7605
4.7036,7.0317
5.0688,7.3045
5.4477,7.5792
5.8406,7.8561
6.2474,8.1363
6.662,8.2924
7.0781,8.3222
7.4942,8.3232
7.901,8.1343
8.2965,7.9074
8.6804,7.6806
9.0531,7.4542
9.4146,7.2284
9.7648,7.0033
10.1036,6.7787
10.4314,6.5539
10.7478,6.3299
11.053,6.1049
11.347,5.8794
11.6298,5.6525
11.9009,5.4243
12.1605,5.1928
12.4084,4.9585
12.6444,4.72
12.8683,4.4763
13.0797,4.2273
13.2782,3.972
13.4638,3.7084
13.6357,3.4392
13.7937,3.1609
13.9375,2.8755
14.0667,2.5823
14.1808,2.2826
14.2796,1.9759
14.3628,1.6634
14.4301,1.3467
14.4813,1.0251
14.5164,0.7008
14.5351,0.3725
