2019.02.24.18.40.20.813, INFO   , Logger filename: BB2019_Log__None0_2019.02.24.18.40.20.633.txt
2019.02.24.18.40.20.822, INFO   , Program date: 1969.12.31.16.00.00.000
2019.02.24.18.40.21.354, INFO   , Lift PIDF set to: 0.6, 0.0, 0.0, 0.5, Idx: 0
2019.02.24.18.40.21.362, INFO   , Lift PIDF set to: 0.9, 0.0, 0.0, 0.5, Idx: 1
2019.02.24.18.40.21.909, INFO   , Hand PIDF set to: 10.0, 0.0, 0.0, 5.0
2019.02.24.18.40.22.635, DEBUG  , DriverCam Get Video Mode: 160, 120, 30
2019.02.24.18.40.22.645, INFO   , BeachbotLib Version:                2019.2.0
2019.02.24.18.40.22.646, INFO   , WPILib Version:                     2019.4.1
2019.02.24.18.40.22.685, INFO   , NavX Firmware Version:              3.1
2019.02.24.18.40.22.696, INFO   , Talon Intake Firmware Version:      4.22
2019.02.24.18.40.22.700, INFO   , Talon Hand Firmware Version:        4.22
2019.02.24.18.40.22.703, INFO   , Talon Lift1 Firmware Version:       4.22
2019.02.24.18.40.22.706, INFO   , Talon Lift2 Firmware Version:       4.22
2019.02.24.18.40.22.710, INFO   , Talon Lift3 Firmware Version:       4.22
2019.02.24.18.40.22.711, DEBUG  , Practice Robot Detected
2019.02.24.18.40.22.763, INFO   , Disabled Init
2019.02.24.18.40.22.769, INFO   , Battery Voltage: 13.069951416015625
2019.02.24.18.40.22.770, INFO   , Lift disabled
2019.02.24.18.40.22.771, INFO   , Hand disabled
2019.02.24.18.40.22.773, INFO   , Turning Roller off
2019.02.24.18.40.22.778, INFO   , Turning Claw off
2019.02.24.18.40.22.780, INFO   , Limelight lights disabled
2019.02.24.18.40.22.784, INFO   , New pipeline: -99.0
2019.02.24.18.40.22.845, INFO   , Limelight lights disabled
2019.02.24.18.40.22.847, INFO   , New pipeline: -99.0
2019.02.24.18.40.22.966, INFO   , Limelight lights disabled
2019.02.24.18.40.22.967, INFO   , New pipeline: -99.0
2019.02.24.18.40.22.988, INFO   , Limelight lights disabled
2019.02.24.18.40.22.989, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.008, INFO   , Limelight lights disabled
2019.02.24.18.40.23.009, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.029, INFO   , Limelight lights disabled
2019.02.24.18.40.23.030, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.051, INFO   , Limelight lights disabled
2019.02.24.18.40.23.052, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.072, INFO   , Limelight lights disabled
2019.02.24.18.40.23.072, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.095, INFO   , Limelight lights disabled
2019.02.24.18.40.23.096, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.119, INFO   , Limelight lights disabled
2019.02.24.18.40.23.120, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.142, INFO   , Limelight lights disabled
2019.02.24.18.40.23.143, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.162, INFO   , Limelight lights disabled
2019.02.24.18.40.23.163, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.183, INFO   , Limelight lights disabled
2019.02.24.18.40.23.184, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.203, INFO   , Limelight lights disabled
2019.02.24.18.40.23.204, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.225, INFO   , Limelight lights disabled
2019.02.24.18.40.23.226, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.265, INFO   , Limelight lights disabled
2019.02.24.18.40.23.267, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.309, INFO   , Limelight lights disabled
2019.02.24.18.40.23.310, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.329, INFO   , Limelight lights disabled
2019.02.24.18.40.23.330, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.348, INFO   , Limelight lights disabled
2019.02.24.18.40.23.349, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.367, INFO   , Limelight lights disabled
2019.02.24.18.40.23.368, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.386, INFO   , Limelight lights disabled
2019.02.24.18.40.23.387, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.406, INFO   , Limelight lights disabled
2019.02.24.18.40.23.407, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.427, INFO   , Limelight lights disabled
2019.02.24.18.40.23.428, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.450, INFO   , Limelight lights disabled
2019.02.24.18.40.23.452, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.469, INFO   , Limelight lights disabled
2019.02.24.18.40.23.470, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.494, INFO   , Limelight lights disabled
2019.02.24.18.40.23.498, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.537, INFO   , Limelight lights disabled
2019.02.24.18.40.23.539, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.583, INFO   , Limelight lights disabled
2019.02.24.18.40.23.585, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.637, INFO   , Limelight lights disabled
2019.02.24.18.40.23.640, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.685, INFO   , Limelight lights disabled
2019.02.24.18.40.23.685, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.724, INFO   , Limelight lights disabled
2019.02.24.18.40.23.726, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.760, INFO   , Limelight lights disabled
2019.02.24.18.40.23.763, INFO   , New pipeline: -99.0
2019.02.24.18.40.23.797, INFO   , Limelight lights disabled
2019.02.24.18.40.23.798, INFO   , New pipeline: -99.0
