Year, Month, Day, H, M, S, mS, Valid LL Target, LL Target Angle, LL Target Area, DriveTrainDistanceL, DriveTrainDistanceR, DriveTrainRateL, DriveTrainRateR, DriveTrainLeft, DriveTrainRight, ChassisAngle, GyroSetpoint, GyroCompensation, GyroIsConnected, GyroIsCalibrating, ChassisX, ChassisY, leftDrivePID Error, Pressure, Shifter, LiftPosition, LiftVelocity, LiftVelocityCmd, LiftOutput, LiftSetpoint, LiftCalibrated, PogoPosition, PogoOutput, PogoSetpoint, HandAngle, HandOutput, HandSetpoint, HandVelocity, HandCalibrated, HandLimitSwitch, SensorPickupDistanceFiltered, SensorPickupDistanceRaw, SensorVoltage, BallInRange, HasBall, HasHatch, PickupCurrent, BatteryV, MatchTime, RobotMode, 
2019,04,09,19,36,44,007, 0.0, 0.0, 0.0, -5.671126972813215, -5.485515297479052, -3.620013658727177, -3.2341141924061483, 0.0, 0.0, -2.8499999046325684, 0.0, 0.0, 1.0, 0.0, 0.2751733139919467, -5.546956240005183, 5.692602703843614, 106.31590529, 0.0, 0.0, 0.0, 999.0, 0.0, 999.0, 1.0, 0.0, 0.0, 999.0, 59.757421875, 0.0, 999.0, 0.0, 1.0, 0.0, 0.0, 18.934436426950587, 0.28076169, 1.0, 1.0, 0.0, 0.0, 12.705568115234374, -1.0, 0.0, 
2019,04,09,19,36,44,209, 0.0, 0.0, 0.0, -6.339942596331355, -6.0991076126333095, -4.651774497966389, -3.4023250722462866, 0.0, 0.0, -3.0899999141693115, 0.0, 0.0, 1.0, 0.0, 0.3104254457780023, -6.206393388764811, 6.355282404210211, 106.31590529, 0.0, 0.0, 0.0, 999.0, 0.0, 999.0, 1.0, 0.0, 0.0, 999.0, 59.757421875, 0.0, 999.0, 0.0, 1.0, 0.0, 0.0, 19.022920877942127, 0.279540987, 1.0, 1.0, 0.0, 0.0, 12.718133056640625, -1.0, 0.0, 
2019,04,09,19,36,44,250, 0.0, 0.0, 0.0, -6.507146502210889, -6.237165883543017, -3.429806121600092, -2.9401390313819524, 0.0, 0.0, -3.140000104904175, 0.0, 0.0, 1.0, 0.0, 0.317987713432268, -6.344244389031416, 6.536292137180717, 106.31590529, 0.0, 0.0, 0.0, 999.0, 0.0, 999.0, 1.0, 0.0, 0.0, 999.0, 59.66953125, 0.0, 999.0, 0.0, 1.0, 0.0, 18.846744768184564, 18.934436426950587, 0.28076169, 0.0, 0.0, 1.0, 0.0, 12.7118505859375, -1.0, 0.0, 
2019,04,09,19,36,44,288, 0.0, 0.0, 0.0, -6.612991176574999, -6.336874634755584, -2.328491035251339, -3.079818878453328, 0.0, 0.0, -3.180000066757202, 0.0, 0.0, 1.0, 0.0, 0.32458253620496363, -6.46294484191522, 6.622195061302313, 106.358629895, 0.0, 0.0, 0.0, 999.0, 0.0, 999.0, 1.0, 0.0, 0.0, 999.0, 59.757421875, 0.0, 999.0, 0.0, 1.0, 0.0, 18.846744768184564, 19.112208797671055, 0.27832028400000003, 0.0, 0.0, 1.0, 0.0, 12.7118505859375, -1.0, 0.0, 
2019,04,09,19,36,44,318, 0.0, 0.0, 0.0, -6.726505754878537, -6.430447462816608, -2.962782786838515, -2.939927723416494, 0.0, 0.0, -3.190000057220459, 0.0, 0.0, 1.0, 0.0, 0.3301310534478981, -6.562499093581206, 6.73570963960585, 106.31590529, 0.0, 0.0, 0.0, 999.0, 0.0, 999.0, 1.0, 0.0, 0.0, 999.0, 59.757421875, 0.0, 999.0, 0.0, 1.0, 0.0, 18.934436426950587, 18.934436426950587, 0.28076169, 0.0, 0.0, 1.0, 0.0, 12.705568115234374, -1.0, 0.0, 
2019,04,09,19,36,44,351, 0.0, 0.0, 0.0, -6.821612563727446, -6.519418348513975, -2.607757560314739, -2.6952135428017945, 0.0, 0.0, -3.2200000286102295, 0.0, 0.0, 1.0, 0.0, 0.3354732051509994, -6.657455749506971, 6.829282467666874, 106.31590529, 0.0, 0.0, 0.0, 999.0, 0.0, 999.0, 1.0, 0.0, 0.0, 999.0, 59.757421875, 0.0, 999.0, 0.0, 1.0, 0.0, 18.934436426950587, 18.934436426950587, 0.28076169, 0.0, 0.0, 1.0, 0.0, 12.705568115234374, -1.0, 0.0, 
2019,04,09,19,36,44,382, 0.0, 0.0, 0.0, -6.907515487849042, -6.6099232149992275, -2.8342100979434006, -3.233602883477413, 0.0, 0.0, -3.2300000190734863, 0.0, 0.0, 1.0, 0.0, 0.34035655908302564, -6.74398798012947, 6.918253353364242, 106.31590529, 0.0, 0.0, 0.0, 999.0, 0.0, 999.0, 1.0, 0.0, 0.0, 999.0, 59.757421875, 0.0, 999.0, 0.0, 1.0, 0.0, 18.934436426950587, 18.759835412402992, 0.28320309600000004, 0.0, 0.0, 1.0, 0.0, 12.718133056640625, -1.0, 0.0, 
2019,04,09,19,36,44,452, 0.0, 0.0, 0.0, -7.085457259243777, -6.790932947969734, -2.6078129761326725, -2.695450338931016, 0.0, 0.0, -3.2300000190734863, 0.0, 0.0, 1.0, 0.0, 0.3502529135116453, -6.919349757231702, 7.100797067122633, 106.31590529, 0.0, 0.0, 0.0, 999.0, 0.0, 999.0, 1.0, 0.0, 0.0, 999.0, 59.757421875, 0.0, 999.0, 0.0, 1.0, 0.0, 18.934436426950587, 19.112208797671055, 0.27832028400000003, 0.0, 0.0, 1.0, 0.0, 12.69928564453125, -1.0, 0.0, 
2019,04,09,19,36,44,483, 0.0, 0.0, 0.0, -7.159088337062287, -6.858428102636702, -2.7160317604154507, -2.396096201008499, 0.0, 0.0, -3.25, 0.0, 0.0, 1.0, 0.0, 0.3546446786818074, -6.996691196123413, 7.162156298638059, 106.31590529, 0.0, 0.0, 0.0, 999.0, 0.0, 999.0, 1.0, 0.0, 0.0, 999.0, 59.66953125, 0.0, 999.0, 0.0, 1.0, 0.0, 18.934436426950587, 18.934436426950587, 0.28076169, 0.0, 0.0, 1.0, 0.0, 12.69928564453125, -1.0, 0.0, 
2019,04,09,19,36,44,507, 0.0, 0.0, 0.0, -7.220447568577713, -6.919787334152128, -2.5074264033110887, -2.3106035102116564, 0.0, 0.0, -3.259999990463257, 0.0, 0.0, 1.0, 0.0, 0.3579159141158907, -7.054122387613647, 7.228117472517141, 106.31590529, 0.0, 0.0, 0.0, 999.0, 0.0, 999.0, 1.0, 0.0, 0.0, 999.0, 59.757421875, 0.0, 999.0, 0.0, 1.0, 0.0, 18.934436426950587, 18.846744768184564, 0.281982393, 0.0, 0.0, 1.0, 0.0, 12.718133056640625, -1.0, 0.0, 
