2017.02.19.22.48.40.788, INFO   , Logger filename: BB2019_Log__None0_2017.02.19.22.48.40.508.txt
2017.02.19.22.48.40.801, INFO   , Program date: 1969.12.31.16.00.00.000
2017.02.19.22.48.41.613, INFO   , Lift PIDF set to: 0.6, 0.0, 0.0, 0.5, Idx: 0
2017.02.19.22.48.41.624, INFO   , Lift PIDF set to: 0.9, 0.0, 0.0, 0.5, Idx: 1
2017.02.19.22.48.42.534, INFO   , Hand PIDF set to: 10.0, 0.0, 0.0, 5.0
2017.02.19.22.48.43.736, DEBUG  , DriverCam Get Video Mode: 160, 120, 30
2017.02.19.22.48.43.751, INFO   , BeachbotLib Version:                2019.2.0
2017.02.19.22.48.43.754, INFO   , WPILib Version:                     2019.4.1
2017.02.19.22.48.43.802, INFO   , NavX Firmware Version:              3.1
2017.02.19.22.48.43.819, INFO   , Talon Intake Firmware Version:      4.17
2017.02.19.22.48.43.826, INFO   , Talon Hand Firmware Version:        4.17
2017.02.19.22.48.43.832, INFO   , Talon Lift1 Firmware Version:       4.17
2017.02.19.22.48.43.839, INFO   , Talon Lift2 Firmware Version:       4.17
2017.02.19.22.48.43.846, INFO   , Talon Lift3 Firmware Version:       4.17
2017.02.19.22.48.43.847, DEBUG  , Competition Robot Detected
2017.02.19.22.48.43.950, INFO   , Disabled Init
2017.02.19.22.48.43.965, INFO   , Battery Voltage: 12.862629882812499
2017.02.19.22.48.43.968, INFO   , Lift disabled
2017.02.19.22.48.43.970, INFO   , Hand disabled
2017.02.19.22.48.43.974, INFO   , Turning Roller off
2017.02.19.22.48.43.987, INFO   , Turning Claw off
2017.02.19.22.48.43.989, INFO   , Limelight lights disabled
2017.02.19.22.48.43.993, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.080, INFO   , Limelight lights disabled
2017.02.19.22.48.44.081, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.255, INFO   , Limelight lights disabled
2017.02.19.22.48.44.257, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.290, INFO   , Limelight lights disabled
2017.02.19.22.48.44.292, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.334, INFO   , Limelight lights disabled
2017.02.19.22.48.44.336, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.368, INFO   , Limelight lights disabled
2017.02.19.22.48.44.369, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.395, INFO   , Limelight lights disabled
2017.02.19.22.48.44.396, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.427, INFO   , Limelight lights disabled
2017.02.19.22.48.44.429, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.454, INFO   , Limelight lights disabled
2017.02.19.22.48.44.455, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.485, INFO   , Limelight lights disabled
2017.02.19.22.48.44.486, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.522, INFO   , Limelight lights disabled
2017.02.19.22.48.44.523, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.570, INFO   , Limelight lights disabled
2017.02.19.22.48.44.572, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.614, INFO   , Limelight lights disabled
2017.02.19.22.48.44.618, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.662, INFO   , Limelight lights disabled
2017.02.19.22.48.44.666, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.739, INFO   , Limelight lights disabled
2017.02.19.22.48.44.743, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.830, INFO   , Limelight lights disabled
2017.02.19.22.48.44.832, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.907, INFO   , Limelight lights disabled
2017.02.19.22.48.44.912, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.956, INFO   , Limelight lights disabled
2017.02.19.22.48.44.958, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.999, INFO   , Limelight lights disabled
2017.02.19.22.48.45.000, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.062, INFO   , Limelight lights disabled
2017.02.19.22.48.45.064, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.103, INFO   , Limelight lights disabled
2017.02.19.22.48.45.106, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.150, INFO   , Limelight lights disabled
2017.02.19.22.48.45.153, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.201, INFO   , Limelight lights disabled
2017.02.19.22.48.45.203, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.262, INFO   , Limelight lights disabled
2017.02.19.22.48.45.264, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.319, INFO   , Limelight lights disabled
2017.02.19.22.48.45.320, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.350, INFO   , Limelight lights disabled
2017.02.19.22.48.45.354, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.381, INFO   , Limelight lights disabled
2017.02.19.22.48.45.382, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.398, INFO   , Limelight lights disabled
2017.02.19.22.48.45.399, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.418, INFO   , Limelight lights disabled
2017.02.19.22.48.45.419, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.434, INFO   , Limelight lights disabled
2017.02.19.22.48.45.435, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.455, INFO   , Limelight lights disabled
2017.02.19.22.48.45.456, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.471, INFO   , Limelight lights disabled
2017.02.19.22.48.45.472, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.489, INFO   , Limelight lights disabled
2017.02.19.22.48.45.490, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.514, INFO   , Limelight lights disabled
2017.02.19.22.48.45.515, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.553, INFO   , Limelight lights disabled
2017.02.19.22.48.45.554, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.609, INFO   , Limelight lights disabled
2017.02.19.22.48.45.612, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.649, INFO   , Limelight lights disabled
2017.02.19.22.48.45.650, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.697, INFO   , Limelight lights disabled
2017.02.19.22.48.45.698, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.717, INFO   , Limelight lights disabled
2017.02.19.22.48.45.717, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.742, INFO   , Limelight lights disabled
2017.02.19.22.48.45.744, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.784, INFO   , Limelight lights disabled
2017.02.19.22.48.45.786, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.823, INFO   , Limelight lights disabled
2017.02.19.22.48.45.824, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.844, INFO   , Limelight lights disabled
2017.02.19.22.48.45.845, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.868, INFO   , Limelight lights disabled
2017.02.19.22.48.45.870, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.902, INFO   , Limelight lights disabled
2017.02.19.22.48.45.902, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.927, INFO   , Limelight lights disabled
2017.02.19.22.48.45.929, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.958, INFO   , Limelight lights disabled
2017.02.19.22.48.45.959, INFO   , New pipeline: -99.0
2017.02.19.22.48.45.976, INFO   , Limelight lights disabled
2017.02.19.22.48.45.978, INFO   , New pipeline: -99.0
2017.02.19.22.48.46.003, INFO   , Limelight lights disabled
2017.02.19.22.48.46.004, INFO   , New pipeline: -99.0
2017.02.19.22.48.46.054, INFO   , Limelight lights disabled
2017.02.19.22.48.46.056, INFO   , New pipeline: -99.0
2017.02.19.22.48.46.077, INFO   , Limelight lights disabled
2017.02.19.22.48.46.077, INFO   , New pipeline: -99.0
2017.02.19.22.48.46.094, INFO   , Limelight lights disabled
2017.02.19.22.48.46.094, INFO   , New pipeline: -99.0
2017.02.19.22.48.46.118, INFO   , Limelight lights disabled
