Year, Month, Day, H, M, S, mS, Valid LL Target, LL Target Angle, LL Target Area, DriveTrainDistanceL, DriveTrainDistanceR, DriveTrainRateL, DriveTrainRateR, DriveTrainLeft, DriveTrainRight, ChassisAngle, GyroSetpoint, GyroCompensation, GyroIsConnected, GyroIsCalibrating, ChassisX, ChassisY, leftDrivePID Error, Pressure, Shifter, LiftPosition, LiftVelocity, LiftOutput, LiftSetpoint, LiftCalibrated, PogoPosition, PogoOutput, PogoSetpoint, HandAngle, HandOutput, HandSetpoint, HandVelocity, HandCalibrated, HandLimitSwitch, SensorPickupDistanceFiltered, SensorPickupDistanceRaw, SensorVoltage, BallInRange, HasBall, HasHatch, PickupCurrent, BatteryV, MatchTime, RobotMode, 
2019,03,21,13,50,04,656, 1.0, 16.303512573242188, 1.9632898569107056, 0.0, 0.0015339807878856412, 0.0, 0.0, 0.0, 0.0, -0.03999999910593033, 0.0, 0.0, 1.0, 0.0, -5.354602527542138E-7, 7.669902070319287E-4, 0.0, 119.176011395, 0.0, 0.0, 0.0, 0.0, 999.0, 1.0, 0.002492718780314167, 0.0, 999.0, -42.898828125, 0.0, 999.0, 0.0, 1.0, 1.0, 0.0, 13.524115624032492, 0.384521445, 1.0, 1.0, 0.0, 0.125, 12.53594140625, 29.0, 2.0, 
2019,03,21,13,50,04,855, 1.0, 16.30559539794922, 2.0045523643493652, 0.0, 0.0015339807878856412, 0.0, 0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0, 1.0, 0.0, -5.354602527542138E-7, 7.669902070319287E-4, 0.0, 119.218736, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.002492718780314167, 0.0, 999.0, -42.898828125, 0.0, -42.8109375, 0.0, 1.0, 1.0, 0.0, 11.15875963910729, 0.46020503100000004, 1.0, 1.0, 0.0, 0.125, 12.529658935546875, 28.0, 2.0, 
2019,03,21,13,50,04,896, 1.0, 16.303512573242188, 1.9632898569107056, 0.0, 0.0015339807878856412, 0.0, 0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0, 1.0, 0.0, -5.354602527542138E-7, 7.669902070319287E-4, 0.0, 119.218736, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.002492718780314167, 0.0, 999.0, -42.898828125, 0.0, -42.8109375, 0.0, 1.0, 1.0, 11.654214231880681, 13.432837377955297, 0.416259723, 0.0, 0.0, 1.0, 0.125, 12.52337646484375, 28.0, 2.0, 
2019,03,21,13,50,04,961, 1.0, 16.303512573242188, 1.9632898569107056, 0.0, 0.0015339807878856412, 0.0, 0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0, 1.0, 0.0, -5.354602527542138E-7, 7.669902070319287E-4, 0.0, 119.176011395, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.002492718780314167, 0.0, 999.0, -42.898828125, 0.0, -42.8109375, 0.0, 1.0, 1.0, 11.654214231880681, 12.156578997786886, 0.424804644, 0.0, 0.0, 1.0, 0.125, 12.52337646484375, 28.0, 2.0, 
2019,03,21,13,50,04,997, 1.0, 16.303512573242188, 1.9632898569107056, 0.0, 0.0015339807878856412, 0.0, 0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0, 1.0, 0.0, -5.354602527542138E-7, 7.669902070319287E-4, 0.0, 119.176011395, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.002492718780314167, 0.0, 999.0, -42.898828125, 0.0, -42.8109375, 0.0, 1.0, 1.0, 11.936243704358663, 11.900270407251787, 0.43334956500000005, 0.0, 0.0, 1.0, 0.125, 12.542223876953125, 28.0, 2.0, 
2019,03,21,13,50,05,034, 1.0, 16.303512573242188, 1.9632898569107056, 0.0, 0.0015339807878856412, 0.0, 0.0, 0.0, 0.0, -0.05999999865889549, 0.0, 0.0, 1.0, 0.0, -5.354602527542138E-7, 7.669902070319287E-4, 0.0, 119.218736, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.002492718780314167, 0.0, 999.0, -42.898828125, 0.0, -42.8109375, 0.0, 1.0, 1.0, 11.900270407251787, 11.484404453152118, 0.44799800100000003, 0.0, 0.0, 1.0, 0.125, 12.5108115234375, 28.0, 2.0, 
2019,03,21,13,50,05,090, 1.0, 16.30559539794922, 2.0045523643493652, 0.0, 0.0015339807878856412, 0.0, 0.0, 0.0, 0.0, -0.05999999865889549, 0.0, 0.0, 1.0, 0.0, -5.354602527542138E-7, 7.669902070319287E-4, 0.0, 119.176011395, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.002492718780314167, 0.0, 999.0, -42.898828125, 1.3548387096774193, -1.9417968750000014, 0.0, 1.0, 1.0, 11.900270407251787, 11.351966069476468, 0.45288081300000005, 0.0, 0.0, 1.0, 13.0, 12.278360107421875, 28.0, 2.0, 
2019,03,21,13,50,05,151, 1.0, 16.303512573242188, 1.9632898569107056, 0.0, 0.0015339807878856412, 0.0, 0.0, 0.0, 0.0, -0.05999999865889549, 0.0, 0.0, 1.0, 0.0, -5.354602527542138E-7, 7.669902070319287E-4, 0.0, 119.26146060500001, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.002492718780314167, 0.0, 999.0, -42.371484375, 7.266862170087977, -1.9417968750000014, 0.0, 1.0, 1.0, 12.269722369238758, 13.079344273848818, 0.396728475, 0.0, 0.0, 1.0, 17.125, 12.27207763671875, 28.0, 2.0, 
2019,03,21,13,50,05,212, 1.0, 16.30065155029297, 1.9539724588394165, 0.01227184630308513, 0.015339807878856412, 0.8161968622773674, 0.6505293729503789, 0.0, 0.0, -0.05999999865889549, 0.0, 0.0, 1.0, 0.0, -6.960982633362725E-6, 0.00690290999417861, -0.015339807878856412, 119.218736, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.002492718780314167, 0.0, 999.0, -38.680078125, 11.700879765395893, -1.9417968750000014, 12.0, 1.0, 1.0, 12.269722369238758, 12.082265092652072, 0.42724605000000004, 0.0, 0.0, 1.0, 2.0, 12.177840576171874, 28.0, 2.0, 
2019,03,21,13,50,05,257, 1.0, 16.30065155029297, 1.9539724588394165, 0.0521553467881118, 0.06596117387908257, 0.7961287045285661, 1.1524916466867452, 0.0, 0.0, -0.05999999865889549, 0.0, 0.0, 1.0, 0.0, -3.90885975274675E-5, 0.04371843488511638, -0.05522330836388308, 119.176011395, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.002492718780314167, 0.0, 999.0, -33.230859375, 11.45, -1.9417968750000014, 43.0, 1.0, 1.0, 12.269722369238758, 11.585710896419632, 0.444335892, 0.0, 0.0, 1.0, 0.125, 12.328619873046875, 28.0, 2.0, 
