2017.02.19.22.48.40.615, INFO   , Logger filename: BB2019_Log__None0_2017.02.19.22.48.40.346.txt
2017.02.19.22.48.40.623, INFO   , Program date: 1969.12.31.16.00.00.000
2017.02.19.22.48.41.522, INFO   , Lift PIDF set to: 0.6, 0.0, 0.0, 0.5, Idx: 0
2017.02.19.22.48.41.532, INFO   , Lift PIDF set to: 0.9, 0.0, 0.0, 0.5, Idx: 1
2017.02.19.22.48.42.542, INFO   , Hand PIDF set to: 10.0, 0.0, 0.0, 5.0
2017.02.19.22.48.43.495, DEBUG  , DriverCam Get Video Mode: 160, 120, 30
2017.02.19.22.48.43.517, INFO   , BeachbotLib Version:                2019.2.0
2017.02.19.22.48.43.522, INFO   , WPILib Version:                     2019.4.1
2017.02.19.22.48.43.656, INFO   , NavX Firmware Version:              3.1
2017.02.19.22.48.43.667, INFO   , Talon Intake Firmware Version:      4.17
2017.02.19.22.48.43.671, INFO   , Talon Hand Firmware Version:        4.17
2017.02.19.22.48.43.674, INFO   , Talon Lift1 Firmware Version:       4.17
2017.02.19.22.48.43.677, INFO   , Talon Lift2 Firmware Version:       4.17
2017.02.19.22.48.43.681, INFO   , Talon Lift3 Firmware Version:       4.17
2017.02.19.22.48.43.681, DEBUG  , Competition Robot Detected
2017.02.19.22.48.43.781, INFO   , Disabled Init
2017.02.19.22.48.43.795, INFO   , Battery Voltage: 12.806087646484375
2017.02.19.22.48.43.798, INFO   , Lift disabled
2017.02.19.22.48.43.802, INFO   , Hand disabled
2017.02.19.22.48.43.805, INFO   , Turning Roller off
2017.02.19.22.48.43.816, INFO   , Turning Claw off
2017.02.19.22.48.43.819, INFO   , Limelight lights disabled
2017.02.19.22.48.43.822, INFO   , New pipeline: -99.0
2017.02.19.22.48.43.910, INFO   , Limelight lights disabled
2017.02.19.22.48.43.912, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.087, INFO   , Limelight lights disabled
2017.02.19.22.48.44.089, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.132, INFO   , Limelight lights disabled
2017.02.19.22.48.44.134, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.188, INFO   , Limelight lights disabled
2017.02.19.22.48.44.191, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.239, INFO   , Limelight lights disabled
2017.02.19.22.48.44.241, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.274, INFO   , Limelight lights disabled
2017.02.19.22.48.44.275, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.315, INFO   , Limelight lights disabled
2017.02.19.22.48.44.317, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.362, INFO   , Limelight lights disabled
2017.02.19.22.48.44.365, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.411, INFO   , Limelight lights disabled
2017.02.19.22.48.44.413, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.463, INFO   , Limelight lights disabled
2017.02.19.22.48.44.465, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.513, INFO   , Limelight lights disabled
2017.02.19.22.48.44.514, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.562, INFO   , Limelight lights disabled
2017.02.19.22.48.44.564, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.632, INFO   , Limelight lights disabled
2017.02.19.22.48.44.637, INFO   , New pipeline: -99.0
2017.02.19.22.48.44.742, INFO   , Limelight lights disabled
