Year, Month, Day, H, M, S, mS, DriveTrainDistanceL, DriveTrainDistanceR, DriveTrainRateL, DriveTrainRateR, DriveTrainLeft, DriveTrainRight, ChassisAngle, GyroSetpoint, GyroCompensation, GyroIsConnected, GyroIsCalibrating, ChassisX, ChassisY, leftDrivePID Error, Pressure, Shifter, LiftPosition, LiftVelocity, LiftOutput, LiftSetpoint, LiftCalibrated, PogoPosition, PogoOutput, PogoSetpoint, HandAngle, HandOutput, HandSetpoint, HandCalibrated, SensorPickupDistanceFiltered, SensorPickupDistanceRaw, SensorVoltage, BallInRange, HasBall, HasHatch, BatteryV, MatchTime, RobotMode, 
2017,2,19,22,48,44,94,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.4750836,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.797651284,7.797651284,0.643310481,0,0,1,12.85006494,-1,0, 
2017,2,19,22,48,44,119,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.797651284,7.992220045,0.628662045,0,0,1,12.8375,-1,0, 
2017,2,19,22,48,44,152,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.6032574,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.797651284,7.335041491,0.681152274,0,0,1,12.8375,-1,0, 
2017,2,19,22,48,44,177,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.797651284,7.877596454,0.637206966,0,0,1,12.84378247,-1,0, 
2017,2,19,22,48,44,199,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.877596454,8.042337776,0.624999936,0,0,1,12.84378247,-1,0, 
2017,2,19,22,48,44,219,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.877596454,7.492982676,0.667724541,0,0,1,12.84378247,-1,0, 
2017,2,19,22,48,44,239,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.492982676,8.008858679,0.627441342,0,0,1,12.84378247,-1,0, 
2017,2,19,22,48,44,294,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.492982676,7.406026764,0.675048759,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,44,328,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.463778785,7.942703025,0.632324154,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,44,368,0,0,0,0,0,0,-6.630000114,0,0,1,0,0,0,0,119.4750836,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.463778785,7.492982676,0.667724541,0,0,1,12.84378247,-1,0, 
2017,2,19,22,48,44,413,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.6032574,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.463778785,8.008858679,0.627441342,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,44,457,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.522408437,7.377473798,0.677490165,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,44,480,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.6032574,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.596960086,7.596960086,0.65917962,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,44,508,0,0,0,0,0,0,-6.630000114,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.781850274,7.959142613,0.64697259,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,44,531,0,0,0,0,0,0,-6.630000114,0,0,1,0,0,0,0,119.6032574,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.750433373,7.492982676,0.667724541,0,0,1,12.84378247,-1,0, 
2017,2,19,22,48,44,553,0,0,0,0,0,0,-6.630000114,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.603125,0,999,1,7.750433373,7.750433373,0.64697259,0,0,1,12.8375,-1,0, 
2017,2,19,22,48,44,578,0,0,0,0,0,0,-6.630000114,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.750433373,8.008858679,0.627441342,0,0,1,12.84378247,-1,0, 
2017,2,19,22,48,44,615,0,0,0,0,0,0,-6.630000114,0,0,1,0,0,0,0,119.4750836,0,0,0,0,999,1,0,0,999,61.603125,0,999,1,7.750433373,7.463778785,0.670165947,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,44,636,0,0,0,0,0,0,-6.630000114,0,0,1,0,0,0,0,119.4750836,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.612042228,7.861480845,0.638427669,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,44,655,0,0,0,0,0,0,-6.630000114,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.612042228,7.581935648,0.660400323,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,44,709,0,0,0,0,0,0,-6.630000114,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.612042228,7.781850274,0.644531184,0,0,1,12.8375,-1,0, 
2017,2,19,22,48,44,751,0,0,0,0,0,0,-6.630000114,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.612042228,7.406026764,0.675048759,0,0,1,12.8375,-1,0, 
